sample_id,split,domain_id,is_labeled,rss1_combined_dbm,rss2_combined_dbm,delta_db,sum_db,log_ratio,c1_dbm,c2_dbm,rss_a_p1_dbm,rss_b_p1_dbm,rss_a_p2_dbm,rss_b_p2_dbm,theta1_rad,theta2_rad,d1_m,d2_m,room_dim_m,mask_4rss_is_gt
5354,train,0,1,2.0520219788547673,-9.667210334731855,-11.719232313586623,-7.615188355877088,-2.6984529626598674,2.0520219788547673,-9.667210334731855,1.94646136501806,-9.427562264809492,-12.211255279972605,-20.634862575211066,-0.671143835,-1.263129348,4.341658668,11.22719911,7.999999995,1
5355,train,0,1,2.2482327218858935,-9.44350319361625,-11.691735915502143,-7.195270471730357,-2.6921216830258325,2.2482327218858935,-9.44350319361625,2.263482765895765,-9.46464442801079,-12.44887733604929,-20.793549985932124,-0.706199092,-1.268433924,4.468780593,11.41796828,7.999999986,1
5356,train,0,1,2.185651748659468,-9.354147362142635,-11.539799110802104,-7.1684956134831666,-2.6571369408678867,2.185651748659468,-9.354147362142635,2.3121133272489476,-9.66290829910212,-12.676062401770317,-20.947439512515487,-0.739277047,-1.273564019,4.601086827,11.6090482,8.000000007,1
5357,train,0,1,2.1968483717792116,-9.8226984329945,-12.01954680477371,-7.625850061215289,-2.767602929721616,2.1968483717792116,-9.8226984329945,2.179687672737984,-9.943262512343404,-12.898826348881837,-21.09020403010311,-0.770473898,-1.278527844,4.738143094,11.80042371,7.999999992,1
5358,train,0,1,2.026114496066304,-10.31984286006358,-12.345957356129885,-8.293728363997277,-2.8427617366964855,2.026114496066304,-10.31984286006358,1.929335781369467,-10.26410376572743,-13.115801779972893,-21.22628654130226,-0.799889902,-1.283333121,4.879549157,11.99208071,7.999999993,1
5359,train,0,1,1.7121523540634165,-10.675262353228467,-12.387414707291883,-8.96310999916505,-2.852307644574549,1.7121523540634165,-10.675262353228467,1.598948957335321,-10.609802235513335,-13.32547047110046,-21.366771398795443,-0.827626566,-1.287987115,5.024937813,12.18400589,7.999999976,1
5360,train,0,1,1.2941885685694452,-10.867160982395816,-12.161349550965262,-9.57297241382637,-2.8002542186742443,1.2941885685694452,-10.867160982395816,1.2062459594001989,-10.969100130080564,-13.535962737769305,-21.493537648169333,-0.853784507,-1.292496668,5.173973328,12.37618682,8.000000009,1
5361,train,0,1,1.2539602501059077,1.180801199739751,-0.07315905036615677,2.4347614498456585,-0.01684549387907139,1.2539602501059077,1.180801199739751,-10.920514783877277,1.309599876504658,1.0108206702088294,-11.163385648463823,0.825376851,-0.850242191,5.307541807,5.456189147,8.000000005,1
5362,train,0,1,0.2565848391300884,1.7056942724341067,1.4491094333040182,1.962279111564195,0.3336697779242882,0.2565848391300884,1.7056942724341067,-10.48176964684088,1.6781191238561415,0.6081640544356421,-11.511952989481962,0.799095937,-0.87377495,5.162363801,5.60802996,8.000000006,1
5363,train,0,1,0.5283201715597989,2.064529240314103,1.5362090687543042,2.5928494118739023,0.3537252101435926,0.5283201715597989,2.064529240314103,-10.056828473303634,1.9813892302316247,0.1766427812798918,-11.864190114318081,0.771314588,-0.896055385,5.020956086,5.762811817,8.000000007,1
5364,train,0,1,-0.43029538342714607,2.031117930038898,2.461413313466044,1.6008225466117518,0.5667613603283993,-0.43029538342714607,2.031117930038898,-9.668578229393754,2.1830227845601993,-0.2742275563969801,-12.218487496163563,0.741947268,-0.91716043,4.883646179,5.920304047,8.000000001,1
5365,train,0,1,-1.0540206975975104,2.347513243993839,3.4015339415913495,1.2934925463963287,0.783232134722152,-1.0540206975975104,2.347513243993839,-9.345472686869254,2.2416750061793462,-0.7376614056878574,-12.572748686953016,0.710909373,-0.937163319,4.750789407,6.080296048,8.000000002,1
5366,train,0,1,-0.585755343498054,2.1706550394971242,2.7564103829951785,1.5848996959990702,0.6346869458058706,-0.585755343498054,2.1706550394971242,-9.139571063277224,2.09413935484718,-1.2079226248370174,-12.924298239020636,0.678119308,-0.956133375,4.622769733,6.242595615,8.000000002,1
5367,train,0,1,-1.3067673594609064,1.5275144677908696,2.8342818272517762,0.22074710832996325,0.6526175084773865,-1.3067673594609064,1.5275144677908696,-9.140247970056294,1.6156443861694205,-1.6817052295328683,-13.279021420642824,0.643501109,-0.974135931,4.500000001,6.407027393,8.000000003,1
5368,train,0,1,-2.4859001137607626,0.3665044988427096,2.8524046126034723,-2.119395614918053,0.6567904340168211,-2.4859001137607626,0.3665044988427096,-9.551193660167577,0.5336698049426825,-2.155817154528376,-13.625102704874891,0.606987664,-0.991232342,4.3829214,6.573431377,8.000000006,1
5369,train,0,1,-3.122695443586705,-2.2521086437671713,0.8705867998195336,-5.374804087353876,0.20046001874218486,-3.122695443586705,-2.2521086437671713,-10.958256317158366,-1.976053363746865,-2.627898586027398,-13.979400086720375,0.568524548,-1.007480065,4.272001873,6.741661513,7.999999997,1
5370,train,0,1,-3.1678720463255203,-4.267163619271322,-1.099291572945802,-7.435035665596843,-0.253121238871898,-3.1678720463255203,-4.267163619271322,-18.15308569182401,-4.624969848913781,-3.0957531081161553,-14.31798275933005,0.528074448,-1.022932795,4.167733196,6.911584475,7.999999994,1
5371,train,0,1,-3.864361732796571,1.0556876799573336,4.9200494127539045,-2.8086740528392378,1.132883243460125,-3.864361732796571,1.0556876799573336,-9.846486287350713,1.0285167587207216,-3.5582048881089494,-14.659738939438649,0.485622093,-1.037640621,4.070626487,7.083078423,7.999999994,1
5372,train,0,1,-5.999112152679645,4.018693945849286,10.017806098528931,-1.9804182068303593,2.306685098697756,-5.999112152679645,4.018693945849286,-5.14777020764737,4.066774298628993,-4.014447542103036,-14.989407377822486,0.44117948,-1.051650213,3.981205847,7.256031979,8.000000005,1
5373,train,0,1,-0.09965435551575634,6.123833797283491,6.223488152799248,6.024179441767735,1.4330111047060596,-0.09965435551575634,6.123833797283491,-2.00808377043358,6.0961756386657555,-4.462116064857752,-15.316526695878427,0.39479112,-1.065005011,3.9,7.430343193,7.999999998,1
5374,train,0,1,-0.1881495555480287,7.575352540407653,7.763502095955682,7.387202984859624,1.7876124195575585,-0.1881495555480287,7.575352540407653,0.49219573719132964,7.5765409917104485,-4.901646488577991,-15.62249437179612,0.346538864,-1.07774543,3.827531841,7.605918754,8.000000005,1
5375,train,0,1,1.98164515689842,8.659549027445388,6.677903870546968,10.641194184343808,1.5376441904768687,1.98164515689842,8.659549027445388,2.6076713330200234,8.672803532487976,-5.332465266423357,-15.934598195660447,0.296545809,-1.089909047,3.764306045,7.782673069,8.000000007,1
5376,train,0,1,4.1543278886889015,9.44336467968812,5.289036790999218,13.59769256837702,1.2178457271251864,4.1543278886889015,9.44336467968812,4.431441858013802,9.452654237042728,-5.754499251645373,-16.23423042943488,0.244978663,-1.101530799,3.710795063,7.960527615,7.999999993,1
5377,train,0,1,5.727464051587852,9.954364703799893,4.226900652212041,15.681828755387745,0.9732798431350256,5.727464051587852,9.954364703799893,5.9983243780560205,9.94971489324477,-6.165760342926796,-16.536470255493615,0.192048017,-1.112643168,3.667424164,8.139410298,7.999999999,1
5378,train,0,1,7.444376456026765,10.178313317306888,2.7339368612801227,17.622689773333654,0.6295122261970544,7.444376456026765,10.178313317306888,7.325029631119497,10.178925588971895,-6.56833733297171,-16.819366650372384,0.138006024,-1.123276352,3.634556369,8.319254781,8.000000009,1
5379,train,0,1,8.295964208596422,10.156340372519947,1.860376163923526,18.45230458111637,0.4283674422411757,8.295964208596422,10.156340372519947,8.41181648662898,10.149469795518149,-6.960117000792168,-17.09965388637482,0.083141232,-1.133458435,3.612478374,8.499999999,7.999999999,1
5380,train,0,1,9.27816594599717,9.866378434747078,0.5882124887499085,19.14454438074425,0.13544093081084665,9.27816594599717,9.866378434747078,9.256201146918555,9.864997001490343,-7.341990471333096,-17.375489102695706,0.027770637,-1.143215545,3.601388621,8.681589714,7.999999999,1
5381,train,0,1,9.87047535600628,9.334076092678806,-0.536399263327473,19.204551448685088,-0.12351049476308257,9.87047535600628,9.334076092678806,9.855319584523517,9.328192363465718,-7.716946215158399,-17.64471553092451,-0.027770637,-1.152571997,3.601388621,8.863972017,7.999999994,1
5382,train,0,1,10.139649249822071,8.551376327573351,-1.58827292224872,18.691025577395422,-0.3657133554375994,10.139649249822071,8.551376327573351,10.201131500618088,8.547281651938679,-8.07694651936149,-17.90484985457369,-0.083141232,-1.161550432,3.612478374,9.047098991,8.000000009,1
5383,train,0,1,10.339011365248636,7.523704749785781,-2.8153066154628545,17.862716115034416,-0.648248304497229,10.339011365248636,7.523704749785781,10.292259012132918,7.526034519090869,-8.430815223008763,-18.15308569182401,-0.138006024,-1.17017194,3.634556369,9.230926282,8.0,1
