sample_id,split,domain_id,is_labeled,c1_rel_db,c2_rel_db,delta_rel_db,sum_rel_db,log_ratio,c1_dbm,c2_dbm,rss_a_p1_rel_db,rss_b_p1_rel_db,rss_a_p2_rel_db,rss_b_p2_rel_db,theta1_rad,theta2_rad,d1_m,d2_m,room_dim_m,mask_4rss_is_gt
2198,train,0,1,-28.208628822288944,-21.9617873500751,6.246841472213845,-50.17041617236404,1.4383884052216582,-58.208628822288944,-51.9617873500751,-28.95812764643427,-21.978398496730108,-35.70769509601868,-46.14393726401688,0.339292614,-1.107148718,3.605551275,7.602631127,8.000000002,1
2199,train,0,1,-27.011997405026534,-20.878088820712208,6.133908584314327,-47.89008622573874,1.4123846468030374,-57.011997405026534,-50.87808882071221,-26.76740885152239,-20.883255421270277,-36.14056073097255,-46.458915608525984,0.286051442,-1.118642465,3.54400903,7.782030591,8.00000001,1
2200,train,0,1,-25.134070276426197,-20.12904188087748,5.005028395548717,-45.26311215730368,1.1524503773602386,-55.1340702764262,-50.12904188087748,-24.902615959149152,-20.13440495060362,-36.55800352100354,-46.75717544702307,0.231090667,-1.129616846,3.492849839,7.962411689,7.999999993,1
2201,train,0,1,-23.28903836938931,-19.68922897520232,3.599809394186991,-42.97826734459163,0.8288867448674889,-53.28903836938931,-49.68922897520232,-23.31331138516754,-19.69603751979622,-36.967024030045735,-47.03334809738469,0.174672199,-1.140103815,3.4525353,8.143709221,7.999999992,1
2202,train,0,1,-21.919818344798024,-19.559165668610476,2.3606526761875486,-41.4789840134085,0.5435603661925946,-51.919818344798024,-49.559165668610476,-21.99575688128144,-19.552351154933845,-37.36550943137034,-47.32828271596986,0.117108745,-1.150132978,3.423448554,8.325863325,8.000000008,1
2203,train,0,1,-20.94095910166155,-19.701459777737885,1.239499323923667,-40.642418879399436,0.2854052666042835,-50.94095910166155,-49.70145977773788,-20.946859411616433,-19.701178003680976,-37.75109704282423,-47.59450751717401,0.058755823,-1.159731779,3.405877273,8.508818947,7.999999993,1
2204,train,0,1,-20.227703082859346,-20.128769874881026,0.09893320797831961,-40.35647295774037,0.022780212989295303,-50.22770308285935,-50.12876987488103,-20.17265450067303,-20.131278075783236,-38.12668266577985,-47.85156151952302,0.0,-1.168925679,3.4,8.692525518,7.999999992,1
2205,train,0,1,-19.697941143477912,-20.84428064189622,-1.1463394984183068,-40.54222178537413,-0.2639544240568265,-49.69794114347791,-50.84428064189622,-19.67725789845243,-20.8386612595758,-38.49037971138989,-48.124792791635365,-0.058755823,-1.177738308,3.405877273,8.876936417,8.000000008,1
2206,train,0,1,-19.41382761035492,-21.817147084673124,-2.4033194743182023,-41.230974695028046,-0.5533847595267379,-49.41382761035492,-51.817147084673124,-19.463413732161502,-21.819347194365445,-38.84662464116474,-48.35647144215563,-0.117108745,-1.186191612,3.423448554,9.062008608,7.999999999,1
2207,train,0,1,-19.582842804345063,-23.076649335651776,-3.4938065313067135,-42.65949213999684,-0.8044786836792073,-49.58284280434506,-53.07664933565178,-19.540519307266734,-23.065465492895267,-39.18803965372991,-48.60120913598763,-0.174672199,-1.194305992,3.4525353,9.247702409,7.999999991,1
2208,train,0,1,-19.937788576276006,-24.583393958581304,-4.645605382305298,-44.52118253485731,-1.0696901701229085,-49.937788576276006,-54.583393958581304,-19.906618569247353,-24.57708747644481,-39.52047927787633,-48.827287043442354,-0.231090667,-1.202100424,3.492849839,9.433981129,7.999999997,1
2209,train,0,1,-20.60715080015237,-26.371559522325047,-5.764408722172675,-46.97871032247742,-1.3273041593599662,-50.60715080015237,-56.37155952232504,-20.57005952961504,-26.351753821568483,-39.84309200290769,-49.065783148377655,-0.286051442,-1.209592571,3.54400903,9.620810769,7.999999991,1
2210,train,0,1,-21.599742449009895,-28.429765335392897,-6.830022886383002,-50.029507784402796,-1.5726708882993672,-51.599742449009895,-58.4297653353929,-21.552722607919307,-28.422843039385654,-40.15472686656207,-49.28117992693875,-0.339292614,-1.21679889,3.605551275,9.808159869,8.000000003,1
2211,train,0,1,-22.816677439388027,-30.817997551368315,-8.001320111980288,-53.63467499075634,-1.8423720414119258,-52.81667743938803,-60.817997551368315,-22.889925243978006,-30.828154723101875,-40.46240308266771,-49.4692155651658,-0.390607044,-1.223734723,3.676955263,9.995999193,7.999999992,1
2212,train,0,1,-24.735646972744547,-33.633336081898875,-8.897689109154328,-58.36898305464342,-2.0487686304834227,-54.73564697274455,-63.633336081898875,-24.67688674465854,-33.72695604522341,-40.75204004202088,-49.665762445130504,-0.439842583,-1.230414388,3.757658846,10.18430164,7.999999994,1
2213,train,0,1,-27.274228063345383,-37.48449377188533,-10.21026570853995,-64.75872183523072,-2.351000561599237,-57.27422806334538,-67.48449377188533,-27.106764316222517,-37.51124731048843,-41.03473782510445,-49.87162775294828,-0.486899232,-1.236851255,3.847076813,10.37304199,8.000000005,1
2214,train,0,1,-30.57710615295037,-43.44861565188617,-12.8715094989358,-74.02572180483654,-2.9637745896580836,-60.57710615295037,-73.44861565188617,-30.38157631087499,-43.12471038785365,-41.313555616051744,-50.0436480540245,-0.531724067,-1.24305782,3.944616584,10.56219674,8.0,1
2215,train,0,1,-31.44522640372978,-42.3284413391782,-10.883214935448418,-73.77366774290797,-2.505952847421369,-61.44522640372978,-72.3284413391782,-31.321272811697494,-41.87755303199631,-41.580151954098866,-50.21819483062586,-0.57430483,-1.249045772,4.049691346,10.75174403,7.999999986,1
2216,train,0,1,-29.72767443224191,-39.768381135884866,-10.040706703642957,-69.49605556812678,-2.3119581578933657,-59.72767443224191,-69.76838113588487,-29.468543037290882,-40.10105436281226,-41.837587000082166,-50.39053804266168,-0.614662952,-1.254826055,4.16173041,10.9416635,8.000000006,1
2217,train,0,1,-28.221848330350984,-39.71929206159567,-11.497443731244683,-67.94114039194665,-2.6473842543101846,-58.22184833035098,-69.71929206159567,-28.36530313816763,-39.52125713731728,-42.09011524911184,-50.555173278498316,-0.652846631,-1.26040892,4.280186911,11.13193605,8.000000011,1
2218,train,0,1,-27.99358494872329,-39.149235885279055,-11.155650936555766,-67.14282083400235,-2.5686835549158373,-57.99358494872329,-69.14923588527905,-27.855479881383793,-39.42455606868492,-42.3284413391782,-50.71604147743286,-0.688924388,-1.26580398,4.404543108,11.32254388,7.999999998,1
2219,train,0,1,-27.560372687442914,-39.81986429264868,-12.259491605205767,-67.3802369800916,-2.8228522617832446,-57.560372687442914,-69.81986429264867,-27.68755006037528,-39.55424964412635,-42.564902352715706,-50.867160982395816,-0.722979353,-1.271020257,4.534313618,11.51347038,8.000000011,1
2220,train,0,1,-27.67904396276469,-40.03488327845822,-12.355839315693526,-67.7139272412229,-2.845037141974566,-57.679043962764695,-70.03488327845821,-27.737979721783105,-39.79734040533022,-42.790142558462605,-51.01823516502323,-0.755104403,-1.276066222,4.66904701,11.70469993,8.000000023,1
2221,train,0,1,-28.00011287758146,-40.08773924307505,-12.087626365493588,-68.0878521206565,-2.783278827886733,-58.00011287758146,-70.08773924307505,-27.934037403125377,-40.09661145212399,-43.01029995663981,-51.15771230367396,-0.785398163,-1.280949837,4.80832611,11.89621789,8.000000007,1
2222,train,0,1,-28.338254460904658,-40.329202658555026,-11.990948197650368,-68.66745711945968,-2.761017857077356,-58.33825446090466,-70.32920265855503,-28.226961479890058,-40.433514207947965,-43.22393047279506,-51.29596094720973,-0.813961821,-1.285678592,4.95176736,12.0880106,8.000000014,1
2223,train,0,1,-28.697366894360226,-40.75720713938118,-12.059840245020954,-69.45457403374141,-2.7768808372074907,-58.69736689436023,-70.75720713938118,-28.589640225297728,-40.788339493622615,-43.42944147142896,-51.432711096171175,-0.840896669,-1.290259535,5.099019516,12.28006514,7.999999991,1
2224,train,0,1,-29.255426953323482,-28.71521893309245,0.5402080202310309,-57.97064588641594,0.1243874934499795,-59.25542695332348,-58.71521893309245,-40.695604052333,-28.498292549541922,-29.186073205156404,-41.33712660915805,0.812418613,-0.862170055,5.234500934,5.531726677,8.000000007,1
